"County","State","Outbreak Date","Flock Type","Flock Size"
"Sanpete","Utah","11-27-2024","Commercial Turkey Meat Bird","51800"
"Brown","Minnesota","11-27-2023","Commercial Turkey Breeder Hens","7800"
"Sonoma","California","11-27-2023","Commercial Duck Breeder","205500"
"Matanuska Susitna","Alaska","11-26-2024","WOAH Non-Poultry","70"
"Meeker","Minnesota","11-25-2024","Commercial Turkey Meat Bird","30500"
"Matanuska Susitna","Alaska","11-25-2022","WOAH Non-Poultry","40"
"Durham","North Carolina","11-25-2022","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","67900"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","50700"
"Turner","South Dakota","11-25-2022","WOAH Non-Poultry","210"
"Dixon","Nebraska","11-25-2022","Commercial Table Egg Layer","1700000"
"Spink","South Dakota","11-25-2022","Commercial Turkey Meat Bird","55500"
"Otter Tail","Minnesota","11-24-2023","Commercial Breeder Operation","19400"
"Clackamas","Oregon","11-24-2023","WOAH Non-Poultry","10"
"Kandiyohi","Minnesota","11-24-2023","Commercial Turkey Breeder Hens","7300"
"Freeborn","Minnesota","11-24-2023","WOAH Non-Poultry","8"
"Broward","Florida","11-23-2022","WOAH Non-Poultry","10"
"Brule","South Dakota","11-23-2022","WOAH Non-Poultry","30"
"Todd","Minnesota","11-23-2022","Commercial Turkey Meat Bird","44500"
"Faulk","South Dakota","11-23-2022","Commercial Turkey Meat Bird","49900"
"Columbia","Oregon","11-23-2022","WOAH Non-Poultry","30"
"Davidson","Tennessee","11-23-2022","WOAH Non-Poultry","10"
"Merced","California","11-22-2024","Commercial Table Egg Pullets","538600"
"Mchenry","North Dakota","11-22-2024","WOAH Poultry","80"
"Trempealeau","Wisconsin","11-22-2023","Commercial Turkey Meat Bird","51300"
"Brule","South Dakota","11-22-2023","Commercial Turkey Meat Bird","45100"
"Otter Tail","Minnesota","11-22-2023","Commercial Turkey Meat Bird","28000"
"Stearns","Minnesota","11-22-2023","Commercial Turkey Meat Bird","34200"
"Webster","Missouri","11-22-2022","WOAH Poultry","9100"
"Beadle","South Dakota","11-22-2022","Commercial Turkey Meat Bird","29200"
"Piute","Utah","11-21-2024","Commercial Turkey Meat Bird","35500"
"Maricopa","Arizona","11-21-2024","WOAH Non-Poultry","490"
"Tulare","California","11-21-2024","Commercial Duck Meat Bird","96900"
"Roger Mills","Oklahoma","11-21-2024","WOAH Non-Poultry","0"
"Lemhi","Idaho","11-21-2024","WOAH Non-Poultry","20"
"Madera","California","11-21-2024","WOAH Non-Poultry","0"
"Salt Lake","Utah","11-21-2024","WOAH Non-Poultry","30"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","23600"
"Broward","Florida","11-21-2023","WOAH Non-Poultry","5"
"Kandiyohi","Minnesota","11-21-2023","Commercial Breeder Operation","8400"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","57400"
"Kingsbury","South Dakota","11-21-2023","Commercial Turkey Meat Bird","28800"
"Union","Ohio","11-21-2023","Commercial Table Egg Layer","1348900"
"Caroline","Maryland","11-21-2023","Commercial Broiler Production","192900"
"Big Stone","Minnesota","11-21-2023","Commercial Turkey Meat Bird","78500"
"Grimes","Texas","11-21-2023","WOAH Non-Poultry","60"
"Beadle","South Dakota","11-21-2023","Commercial Turkey Meat Bird","78200"
"Brown","Minnesota","11-21-2023","Commercial Turkey Breeder Hens","6400"
"Sumter","Georgia","11-21-2023","Commercial Raised for Release Waterfowl","30000"
"Edmunds","South Dakota","11-21-2022","Commercial Turkey Meat Bird","34400"
"Washington","Maine","11-21-2022","WOAH Non-Poultry","90"
"Marin","California","11-20-2024","Commercial Duck Meat Bird","6500"
"Matanuska Susitna","Alaska","11-20-2024","WOAH Non-Poultry","40"
"Kern","California","11-20-2024","Commercial Table Egg Layer","1022400"
"Day","South Dakota","11-20-2023","WOAH Poultry","60"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Replacement Hens","30100"
"Walworth","South Dakota","11-20-2023","WOAH Non-Poultry","0"
"Swift","Minnesota","11-20-2023","Commercial Turkey Meat Bird","134300"
"Fresno","California","11-20-2023","Commercial Duck Breeder","23400"
"San Juan","New Mexico","11-20-2023","WOAH Non-Poultry","20"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Meat Bird","33400"
"Taylor","Wisconsin","11-20-2023","WOAH Non-Poultry","8"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Hens","19200"
"Whatcom","Washington","11-19-2024","WOAH Non-Poultry","40"
"Henry","Illinois","11-19-2024","WOAH Poultry","5600"
"Lake","South Dakota","11-19-2024","WOAH Non-Poultry","20"
"Fresno","California","11-19-2024","Commercial Broiler Production","172800"
"Merced","California","11-19-2024","Commercial Turkey Meat Bird","38200"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","30"
"Honolulu","Hawaii","11-18-2024","WOAH Non-Poultry","9"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","40"
"Union","North Carolina","11-18-2022","WOAH Non-Poultry","50"
"Utah","Utah","11-18-2022","WOAH Non-Poultry","270"
"Fall River","South Dakota","11-17-2023","WOAH Non-Poultry","80"
"Berks","Pennsylvania","11-17-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-17-2022","WOAH Non-Poultry","20"
"Stearns","Minnesota","11-16-2023","Commercial Turkey Meat Bird","43100"
"Linn","Oregon","11-16-2023","Commercial Broiler Production","630700"
"Benton","Iowa","11-16-2023","WOAH Non-Poultry","90"
"Marion","Oregon","11-16-2023","Commercial Broiler Production","123500"
"Duval","Florida","11-16-2023","WOAH Non-Poultry","50"
"Hillsborough","Florida","11-16-2022","WOAH Non-Poultry","100"
"Fresno","California","11-16-2022","Commercial Duck Breeder","34700"
"Seminole","Florida","11-16-2022","WOAH Poultry","100"
